N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
6;Sixiäme chambre;Caisse nationale d'assurance maladie des travailleurs salariÇs;EPA;CNAMTS
5;Cinquiäme chambre;Institut national des jeunes sourds de Bordeaux;EPA;INJSB
5;Cinquiäme chambre;Institut national des jeunes sourds de Paris;EPA;INJSP
5;Cinquiäme chambre;Institut national des jeunes aveugles;EPA;INJA
5;Cinquiäme chambre;Institut national des jeunes sourds de Metz;EPA;INJSM
5;Cinquiäme chambre;Institut national des jeunes sourds de Coignin-ChambÇry;EPA;INJCC
4;Quatriäme chambre;"Office franáais de l'immigration et de l'intÇgration (ex: Agence nationale de l?accueil des Çtrangers et des migrations)
";EPA;OFII-ANAEM
3;Troisiäme chambre;Institut national de la santÇ et de la recherche mÇdicale;EPST;INSERM
6;Sixiäme chambre;Etablissement national des invalides de la marine;EPA;ENIM
2;Deuxiäme chambre;Office national des anciens combattants et victimes de guerre ;EPA;ONAC
6;Sixiäme chambre;"Centre des liaisons europÇennes et internationales de sÇcuritÇ sociale
";EPA;CSSTM
3;Troisiäme chambre;Institut national d'Çtudes dÇmographiques;EPST;INED
5;Cinquiäme chambre;Agence nationale pour l'amÇlioration des conditions de travail;EPA;ANACT
6;Sixiäme chambre;Agence centrale des organismes de sÇcuritÇ sociale;EPA;ACOSS
6;Sixiäme chambre;Caisse nationale d'assurance vieillesse des travailleurs salariÇs;GAU;CNAVTS
6;Sixiäme chambre;Caisse nationale militaire de sÇcuritÇ sociale;EPA;CNMSS
5;Cinquiäme chambre;Etablissement Public national Antoine Koenigswarter;EPA;EPNAK
6;Sixiäme chambre;Caisse nationale des allocations familiales;EPA;CNAF
7;Septiäme chambre;Ecole nationale vÇtÇrinaire de Toulouse ;EPA;ENVT
1;Premiäre chambre;Institut national de la consommation;EPIC;INC
7;Septiäme chambre;Office national des foràts ;EPIC;ONF
2;Deuxiäme chambre;Agence nationale pour les chäques vacances ;EPIC;ANCV
